naslov,avtor,tip_oddaje,datum
Nezaželeni??,Živa Kadunc,Teater v eter,31. 10. 2024 – 13.45
Država ma vas rada,Brina Jerko,Teater v eter,31. 10. 2024 – 13.15
Prihodnost je mrtvo nakupovalno središče,Lea Sande,Kulturni obzornik,30. 10. 2024 – 13.15
"Što južnije, to tužnije. Ali pač?",Hana Samec Sekereš,Humanistika,29. 10. 2024 – 13.15
Vseživost,Urška Škerl,Tipologije prostora,28. 10. 2024 – 20.00
"En korak naprej, dva koraka nazaj",Metod Zupan,Kulturni obzornik,28. 10. 2024 – 13.45
Franja on my mind,Marko Miočić,Kulturni obzornik,28. 10. 2024 – 13.15
Trnjeva pot do kraja,Tadej Pavković,Repetitio,27. 10. 2024 – 20.00
Zadnji izlet: Yiyun Li,Anja Zidar,Tu pa tam,27. 10. 2024 – 18.00
Nepopolna krožišča,Pavel Lipovšek,Urbi et orbi,26. 10. 2024 – 15.00
Obrniti hrbet ulicam,Lea Sande,Kulturni obzornik,25. 10. 2024 – 16.30
Show 1020: May It Come by Gregory Whitehead for Wave Farm,Anonymous,Radia Network,24. 10. 2024 – 22.30
Revitalizacija Balade o trobenti in oblaku,Siri Savski,Subjekt meseca,23. 10. 2024 – 14.30
Go,Michael C. Jumic,Leteči pilot,22. 10. 2024 – 21.00
"Pita, ovčka in arhiv",Kara Marušič,Kulturni obzornik,22. 10. 2024 – 16.30
Tujci v Benetkah,Neža Urbiha,Fine umetnosti,22. 10. 2024 – 16.10
Galerijske novičke,Kara Marušič,Kulturni obzornik,22. 10. 2024 – 16.00
Extremely Celular,William Blomstedt,Tube(son),21. 10. 2024 – 23.00
Je res bilo kaj avantgardnega? Intervju,Oskar Ban Brejc,Temna zvezda,21. 10. 2024 – 16.00
IN MEMORIAM M M,Kulturno uredništvo,Objekt meseca,20. 10. 2024 – 20.00
Umetniške strategije v performativnih umetnostih – II. del,Samo Oleami,Ulična kritika,20. 10. 2024 – 18.00
"»Edina stvar, ki se jo splača začeti, je konec sveta.«",Martin Pečan,Kulturni obzornik,18. 10. 2024 – 13.15
Show 1019:  Radiacollage – flux détendu 2 by SuzyCue for Radio Panik,Kulturno uredništvo,Radia Network,17. 10. 2024 – 22.30
